gvkey,iid,datadate,tic,exchg,,,
1004,1,2024-02-29,AIR,11,,,
1045,4,2024-02-29,AAL,14,,,
1050,1,2024-02-29,CECO,14,,,
1062,1,2024-02-29,ASA,11,,,
1075,1,2024-02-29,PNW,11,,,
1075,1,2024-03-31,PNW,11,,,
1076,1,2024-02-29,PRG,11,,,
1076,1,2024-03-31,PRG,11,,,
1078,1,2024-02-29,ABT,11,,,
1084,1,2024-02-29,WDDD,19,,,
1096,1,2024-02-29,MRCBF,19,,,
1096,1,2024-03-31,MRCBF,19,,,
1096,01C,2024-02-29,MRC.,7,,,Exchange codes: https://finabase.blogspot.com/2014/09/interantional-stock-exchange-codes-for.html
1096,01C,2024-03-31,MRC.,7,,,
1097,1,2024-02-29,ACMT,19,,,
1097,2,2024-02-29,ACMTA,19,,,
1104,1,2024-02-29,ACU,12,,,
1109,1,2024-02-29,AHIXD,19,,,
1117,2,2024-02-29,BKTI,12,,,
1119,1,2024-02-29,ADX,11,,,
1119,1,2024-03-31,ADX,11,,,
1121,1,2024-02-29,AE,12,,,
1121,1,2024-03-31,AE,12,,,
1126,1,2024-02-29,ADDC,19,,,
1161,1,2024-02-29,AMD,14,,,
1166,90,2024-02-29,ASMIY,19,,,
1186,1,2024-02-29,AEM,11,,,
1186,01C,2024-02-29,AEM.,7,,,
1190,1,2024-02-29,AGDY,19,,,
1209,1,2024-02-29,APD,11,,,
1210,1,2024-02-29,AIRT,14,,,
1230,1,2024-02-29,ALK,11,,,
1234,1,2024-02-29,ATRI,14,,,
1234,1,2024-03-31,ATRI,14,,,
1254,1,2024-02-29,MATX,11,,,
1254,1,2024-03-31,MATX,11,,,
1257,1,2024-02-29,ALX,11,,,
1257,1,2024-03-31,ALX,11,,,
1262,1,2024-02-29,AGMJF,19,,,
1262,1,2024-03-31,AGMJF,19,,,
1262,01C,2024-02-29,ALC.,7,,,
1262,01C,2024-03-31,ALC.,7,,,
1263,7,2024-02-29,ASTL,14,,,
1263,07C,2024-02-29,ASTL.,7,,,
1266,1,2024-02-29,ALCO,14,,,
1272,1,2024-02-29,PBAJ,19,,,
