TICKER,MARKET CAP,COMNAM,SECTOR,NUM PATENTS,PATENT MCAP RATIO,PATENT FACTOR
AAL,9469808640.0,AMERICAN AIRLINES GROUP INC,Industrials,16,1.6895800758229472e-09,0.014965364604782204
AAON,5777324544.0,AAON INC,Industrials,8,1.384724008331563e-09,0.012265118391375304
AAPL,3072766771200.0,APPLE COMPUTER INC,Technology,1766,5.747263399722096e-10,0.00041834004765317146
ABEO,120645968.0,ABEONA THERAPEUTICS INC,Healthcare,4,3.3154858519598434e-08,0.07954301993025967
ABIO,25217676.0,ARCA BIOPHARMA INC,Healthcare,73,2.8947949049706247e-06,6.945007130221391
ABL,509965888.0,AMERICAN BILTRITE INC,Financial Services,1,1.960915472056045e-09,0.0059260775487918966
ACAD,4692264448.0,ACADIA PHARMACEUTICALS,Healthcare,40,8.524668727281416e-09,0.020451840989524447
ACET,68631560.0,ACETO CORP,Healthcare,1,1.4570556169785446e-08,0.03495674816778706
ACHV,67307248.0,ACHIEVE LIFE SCIENCES INC,Healthcare,20,2.9714481863825423e-07,0.712890878938437
ACLS,4456607232.0,AXCELIS TECHNOLOGIES INC,Technology,244,5.475016919776878e-08,0.03985233805765941
ACOR,18383080.0,ACORDA THERAPEUTICS INC,Healthcare,15,8.159677268444678e-07,1.9576176782800006
ACT,4551535616.0,ACTAVIS INC,Financial Services,17,3.735003180078378e-09,0.011287543397738159
ACTG,389556608.0,ACACIA RESEARCH CORP,Industrials,6,1.540212610127255e-08,0.13642350314891527
ADBE,266204807168.0,ADOBE INC,Technology,770,2.8925097491348393e-09,0.0021054414634082068
ADEA,1190691968.0,ADEIA INC,Technology,188,1.5789138169444676e-07,0.11492824244887374
ADI,99689119744.0,ANALOG DEVICES INC,Technology,1222,1.2258108037648197e-08,0.008922607411477667
ADP,96302948352.0,AUTOMATIC DATA PROCESSING INC,Industrials,1,1.0383898074904913e-11,9.197481843774562e-05
ADPT,705044480.0,A D P T CORP,Healthcare,340,4.822390780224249e-07,1.1569572095025904
ADSK,51829465088.0,AUTODESK INC,Technology,356,6.868679802030682e-09,0.0049996731241425865
ADTN,558762880.0,ADTRAN HOLDINGS INC,Technology,189,3.38247236466388e-07,0.24620824761354168
AEHR,796012608.0,AEHR TEST SYSTEMS,Technology,27,3.3919060739299244e-08,0.024689492196782546
AEIS,4081863680.0,ADVANCED ENERGY INDUSTRIES INC,Industrials,88,2.1558779738572748e-08,0.1909557314498905
AEP,43242786816.0,AMERICAN ELECTRIC POWER CO INC,Utilities,8,1.8500195267341024e-10,0.0020670163332855073
AEZS,10367304.0,AETERNA ZENTARIS INC,Healthcare,9,8.68113831715555e-07,2.0827232840419563
AGEN,263880096.0,AGENUS INC,Healthcare,7,2.65271996869366e-08,0.0636423639734335
AKAM,17970124800.0,AKAMAI TECHNOLOGIES INC,Technology,92,5.119608295653016e-09,0.0037265338812775073
ALGN,19530987520.0,ALIGN TECHNOLOGY INC,Healthcare,149,7.628902524637936e-09,0.018302775902499416
ALKS,4575876608.0,ALKERMES INC,Healthcare,87,1.9012750441718205e-08,0.045614177072137954
ALNY,23246323712.0,ALNYLAM PHARMACEUTICALS INC,Healthcare,38,1.63466707556791e-09,0.003921788889383335
ALOT,117661224.0,ASTRO MEDICAL INC NEW,Technology,7,5.949283682447499e-08,0.04330449896097796
ALRS,445948800.0,ALARIS MEDICAL INC,Financial Services,38,8.521157585803572e-08,0.2575176818101268
ALT,412100672.0,ALLEGHENY TELEDYNE INC,Healthcare,1,2.426591529557127e-09,0.0058217234823688116
ALTR,6057672192.0,ALTERA CORP,Technology,1739,2.870739691554442e-07,0.20895951617996256
ALTU,90731760.0,ALTUS PHARMACEUTICALS INC,Financial Services,3,3.306449693029211e-08,0.09992413018968847
ALVR,270329312.0,ALVARION LTD,Healthcare,15,5.548787842881056e-08,0.13312297554042352
AMAT,135476682752.0,APPLIED MATERIALS INC,Technology,4343,3.2057177012151826e-08,0.023334237577380245
AMD,224796819456.0,ADVANCED MICRO DEVICES INC,Technology,6916,3.0765559836373416e-08,0.022394076750766795
AMGN,147414777856.0,AMGEN INC,Healthcare,533,3.615648361391918e-09,0.008674432723065392
AMKR,8208651776.0,AMKOR TECHNOLOGY INC,Technology,488,5.944947030482975e-08,0.043272932716953344
AMSC,338051264.0,AMERICAN SUPERCONDUCTOR CORP,Industrials,142,4.200546340805873e-07,3.7206113181007385
AMZN,1549789954048.0,AMAZON COM INC,Consumer Cyclical,300,1.9357461907428805e-10,0.0009033785845433689
ANDE,1847600896.0,ANDERSONS INC,Consumer Defensive,6,3.247454584477534e-09,0.12019609423193668
ANGO,298052576.0,ANGIODYNAMICS INC,Healthcare,36,1.20784059252687e-07,0.28977740401802543
ANIK,326784896.0,ANIKA RESEARCH INC,Healthcare,6,1.8360701713704663e-08,0.04404982339114659
ANIP,1080776704.0,A N I PHARMACEUTICALS INC,Healthcare,6,5.551563035910885e-09,0.013318955619989203
ANIX,116512496.0,ANIXA BIOSCIENCES INC,Healthcare,10,8.58277038370202e-08,0.20591234774357317
ANSS,25668306944.0,ANSYS INC,Technology,1,3.895854924057433e-11,2.8357707333525664e-05
AOSL,691000512.0,ALPHA & OMEGA SEMICONDUCTOR LTD,Technology,26,3.762660019563053e-08,0.02738818916778381
APA,10842516480.0,A P A CORP,Energy,4,3.689180465972416e-10,0.014852834696517788
API,270519968.0,ADVANCED PHOTONIX INC,Technology,1,3.6965847933266058e-09,0.0026907231338466537
APOG,1139818752.0,APOGEE ENTERPRISES INC,Industrials,1,8.773324690836461e-10,0.007770925135380466
APTO,18982242.0,APTOSE BIOSCIENCES INC,Healthcare,1,5.268081610170179e-08,0.12638845081009756
APYX,81413160.0,APYX MEDICAL CORP,Healthcare,1,1.228302647876584e-08,0.0294686529706299
ARAY,259182784.0,ACCURAY INC DE,Healthcare,48,1.8519748595647463e-07,0.4443139851663668
ARGX,27353346048.0,ARGUSS COMMUNICATIONS INC,Healthcare,1,3.6558598653531723e-11,8.770905596237964e-05
ARM,72822087680.0,ARVINMERITOR INC,Technology,380,5.218197007339628e-09,0.0037982960461141434
ARRW,122265984.0,MINDARROW SYSTEMS,Financial Services,1,8.178889722917536e-09,0.024717401362643287
ARRY,2857982464.0,ARRAY BIOPHARMA INC,Technology,44,1.5395475848518013e-08,0.011206279671162632
ARTL,4305096.0,ARISTOTLE CORP,Healthcare,1,2.3228285733930208e-07,0.5572782022241473
ARTW,10219523.0,ARTS WAY MANUFACTURING INC,Industrials,1,9.785192518280942e-08,0.8667181618647752
ARWR,3067183616.0,ARROWHEAD PHARMACEUTICALS INC,Healthcare,1,3.260319971662238e-10,0.000782195153484534
ASML,297110503424.0,A S M L HOLDING N V,Technology,1640,5.519831783461358e-09,0.004017854291213402
ASRT,98455232.0,ASSERTIO HOLDINGS INC,Healthcare,12,1.2188280659376233e-07,0.2924134484939146
ASTC,14464705.0,ASTROTECH CORP,Industrials,5,3.4566899221242326e-07,3.0617444979675676
ASTE,852041600.0,ASTEC INDUSTRIES INC,Industrials,26,3.0514941993442576e-08,0.2702844566885756
ASTI,2979517.0,ASCENT SOLAR TECHNOLOGIES INC,Technology,2,6.712497361149475e-07,0.48859888100323406
ASUR,195330432.0,ASURE SOFTWARE INC,Technology,23,1.1774918923027826e-07,0.08570896791697209
ASYS,55770632.0,AMTECH SYSTEMS INC,Technology,5,8.965291983780998e-08,0.06525785256163642
ATEC,1830522368.0,A T E C GROUP INC,Healthcare,1,5.46292149979344e-10,0.0013106292505475506
ATHE,12321495.0,ALTERITY THERAPEUTICS LTD,Healthcare,6,4.869538964224714e-07,1.168268700810592
ATLC,517126880.0,ATLANTIC PHARMACEUTICALS INC,Financial Services,1,1.9337614010704683e-09,0.005844015301479827
ATMC,96936960.0,AT TRACK COMMUNICATIONS INC,Financial Services,6,6.1895896054508e-08,0.1870554265076926
ATRC,1690109312.0,ATRICURE INC,Healthcare,16,9.466843290193055e-09,0.02271224605176182
ATRI,639983424.0,ATRION CORP,Healthcare,11,1.7187945167779847e-08,0.04123622075578327
ATRO,536736704.0,ASTRONICS CORP,Industrials,4,7.452443572780147e-09,0.06600961792763696
AUDC,376487872.0,AUDIOCODES LTD,Technology,11,2.9217408628769852e-08,0.021267186255379884
AVAV,3550086912.0,AEROVIRONMENT INC,Industrials,17,4.788615158275877e-09,0.042414901087585395
AVDL,1256381696.0,AVADEL PHARMACEUTICALS PLC,Healthcare,12,9.551237524555595e-09,0.022914719311055938
AVGO,528877584384.0,AVANTGO INC,Technology,2,3.781593433061568e-12,2.752600441226328e-06
AVIR,246134736.0,AVIRAGEN THERAPEUTICS INC,Healthcare,19,7.719349291682259e-08,0.1851977001180564
AVNW,407461920.0,AVIAT NETWORKS INC,Technology,17,4.1721690213406935e-08,0.030368981997399805
AVO,651995200.0,ADVANCED MEDICAL OPTICS INC,Consumer Defensive,98,1.5030785502715358e-07,5.563254738957539
AWH,28219464.0,ASPIRA WOMENS HEALTH INC,Healthcare,38,1.3465882980626422e-06,3.2306486775485874
AWRE,31696108.0,AWARE INC,Technology,65,2.05072496598005e-06,1.492711087564084
AXDX,67078268.0,ACCELERATE DIAGNOSTICS INC,Healthcare,5,7.453978984669074e-08,0.17883110512650444
AXGN,313787840.0,AXOGEN INC,Healthcare,10,3.1868666421235445e-08,0.07645726995929376
AXON,19181553664.0,AXON ENTERPRISE INC,Industrials,33,1.7204028713239482e-09,0.015238375857348286
AXTI,117839616.0,A X T INC,Technology,10,8.486110477481529e-08,0.06176991751781137
AZN,204771246080.0,ASTRAZENECA PLC,Healthcare,1199,5.855314273624017e-09,0.01404769619781355
AZPN,13227180032.0,ASPEN TECHNOLOGY INC,Technology,23,1.7388438007464175e-09,0.001265694553865153
AZTA,3478956288.0,AZENTA INC,Healthcare,126,3.621775888205699e-08,0.08689133494211305
BCPC,4521814528.0,BALCHEM CORP,Basic Materials,9,1.990351427346292e-09,0.009617170443769689
BCRX,1267767680.0,BIOCRYST PHARMACEUTICALS INC,Healthcare,23,1.8142125219661697e-08,0.043525428620718946
BEAM,2316346368.0,BEAM INC,Healthcare,61,2.6334576228627306e-08,0.06318023406947765
BEAT,32911250.0,BIOTELEMETRY INC,Healthcare,2,6.07694937141555e-08,0.145794289750913
BELFA,813673280.0,BEL FUSE INC,Technology,24,2.9495868415391495e-08,0.02146987555688366
BIDU,39979544576.0,BAIDU COM INC,Communication Services,1,2.5012791181225887e-11,2.6650926112267318e-06
BIIB,35953541120.0,BIOGEN IDEC INC,Healthcare,17,4.728324240235506e-10,0.001134389365756033
BIOL,3893122.0,BIOLASE INC,Healthcare,48,1.2329436375227902e-05,29.579996631380585
BKNG,121386156032.0,BOOKING HOLDINGS INC,Consumer Cyclical,24,1.977161217105605e-10,0.0009227062464410407
BKR,34024265728.0,BAKER HUGHES CO,Energy,1941,5.704752059947232e-08,2.2967632001890013
BLDP,1111238400.0,BALLARD POWER SYSTEMS INC,Industrials,282,2.5377092800248806e-07,2.24776233929095
BMRN,18301835264.0,BIOMARIN PHARMACEUTICAL INC,Healthcare,21,1.1474259109580849e-09,0.0027528309930770515
BOLT,40623516.0,BOLT TECHNOLOGY CORP,Healthcare,3,7.38488514878919e-08,0.17717344992607492
BOOM,365787232.0,D M C GLOBAL INC,Energy,1,2.733829703492767e-09,0.11006542252116519
BRKR,10153831424.0,BRUKER BIOSCIENCES CORP,Healthcare,182,1.7924268426381154e-08,0.04300276051041429
BRZE,5389492736.0,BREEZECOM LTD,Technology,15,2.7831932864117324e-09,0.0020258706293533905
