Symbol,Name,Last,Change,% Change,Open,High,Low,Time,Ticker cleaned,,,Download from: https://theglobeandmail.com/investing/markets/indices/TXCX/components/
AAV-T,Advantage Oil & Gas Ltd,9.99,0.08,0.008072654,9.88,10.005,9.8,16:00 ET,AAV,,,
ABX-T,Barrick Gold Corp,21.11,-0.3,-0.014012144,21.05,21.16,20.82,16:00 ET,ABX,,,
AC-T,Air Canada,17.85,0.15,0.008474576,17.65,17.94,17.465,16:15 ET,AC,,,
ACO-X-T,Atco Ltd Cl I NV,37.96,-0.21,-0.005501703,38.15,38.16,37.82,16:00 ET,ACO-X,,,
AEM-T,Agnico Eagle Mines Ltd,74.65,-0.37,-0.004932018,73.91,74.79,73.01,16:15 ET,AEM,,,
AGI-T,Alamos Gold Inc Cls A,18.35,-0.2,-0.010781671,18.17,18.45,18.04,16:00 ET,AGI,,,
AIF-T,Altus Group Ltd,50.98,0.31,0.006118019,50.64,51.06,50.09,16:00 ET,AIF,,,
ALA-T,AltaGas Ltd,29.63,0.29,0.009884117,29.36,29.64,29.29,16:00 ET,ALA,,,
AOI-T,Africa Oil Corp,2.1,0.01,0.004784689,2.12,2.14,2.09,16:00 ET,AOI,,,
AP-UN-T,Allied Properties Real Estate Inv Trust,17.28,-0.16,-0.009174312,17.47,17.52,17.15,16:00 ET,AP-UN,,,
AQN-T,Algonquin Power and Utilities Corp,8.44,-0.22,-0.025404157,8.66,8.665,8.4,16:00 ET,AQN,,,
ARX-T,Arc Resources Ltd,22.82,-0.05,-0.00218627,22.85,22.92,22.64,16:15 ET,ARX,,,
ASTL-T,Algoma Steel Group Inc,10.5,0.06,0.005747126,10.32,10.535,10.32,16:00 ET,ASTL,,,
ATD-T,Alimentation Couche-Tard Inc.,83.48,0.95,0.011510966,82.89,83.68,82.75,16:15 ET,ATD,,,
ATH-T,Athabasca Oil Corp,5.06,-0.12,-0.023166023,5.08,5.17,5.03,16:00 ET,ATH,,,
ATRL-T,Snc-Lavalin Group Inc,55.12,-1.06,-0.018867925,56.2,56.49,54.87,16:15 ET,ATRL,,,
ATS-T,Ats Corp,49.5,-0.02,-0.000403877,49.93,50.14,49.01,16:00 ET,ATS,,,
