DATE,COMNAM,TICKER,PERMNO
1991-04-12,ATTWOODS PLC,A,11334
1996-05-23,ASTRA AB,A,83438
1999-11-18,AGILENT TECHNOLOGIES INC,A,87432
1991-04-30,AMERICAN ASSET MANAGEMENT CORP,AAMC,76867
2013-09-12,ALTISOURCE ASSET MANAGEMENT CORP,AAMC,14127
2005-12-19,ALMADEN MINERALS LTD,AAU,91038
2002-01-02,ACME UNITED CORP,ACU,60038
1995-10-18,A D E CORP MASS,ADEX,82467
2021-03-03,ADIT EDTECH ACQUISITION CORP,ADEX,20666
2022-02-07,AULT DISRUPTIVE TECHNOLOGIES COR,ADRT,22810
1992-02-10,ADAMS RESOURCES & ENERGY INC,AE,61487
1990-05-23,ALLIANCE GLOBAL ENVIRONMENT FUND,AEF,76178
2018-04-30,ABERDEEN EMERG MKTS EQTY INC FD,AEF,75809
2022-07-01,ABRDN EMERG MKTS EQTY INCOME FD,AEF,75809
2002-01-02,EDWARDS A G INC,AGE,54391
2018-11-29,AGEX THERAPEUTICS INC,AGE,18217
1993-03-09,AEROSONIC CORP DEL,AIM,11157
2019-09-03,AIM IMMUNOTECH INC,AIM,83762
2014-11-13,ASHFORD INC,AINC,15028
2013-06-12,AIR INDUSTRIES GROUP INC,AIRI,13976
2013-09-03,AIR INDUSTRIES GROUP,AIRI,13976
1990-04-18,AMERICAN BIONETICS INC,AMBI,10320
1991-10-09,APPLIED MICROBIOLOGY INC,AMBI,10994
1997-01-02,AMBI INC,AMBI,10994
2013-05-16,AMBIT BIOSCIENCES CORP,AMBI,13920
2010-08-06,AMBOW EDUCATION HOLDING LTD,AMBO,12038
2018-06-01,AMBOW EDUCATION HOLDING LTD,AMBO,17913
2011-05-19,AMPIO PHARMACEUTICALS INC,AMPE,12789
2001-08-24,AMERICAN SHARED HOSPITAL SVCS,AMS,13769
1994-01-03,ANGELES PARTICIPATING MTG TRUST,APT,75846
1998-03-20,STARWOOD FINANCIAL TRUST,APT,75846
1998-06-19,STARWOOD FINANCIAL TRUST MD,APT,75846
2000-04-04,ALPHA PRO TECH LTD,APT,87832
2022-02-09,ARENA GROUP HOLDINGS INC,AREN,12928
2019-05-10,ARMATA PHARMACEUTICALS INC,ARMP,80577
1992-06-26,AUTHENTIC FITNESS CORP,ASM,77705
2011-08-02,AVINO SILVER & GOLD MINES LTD,ASM,78236
2021-03-05,ASENSUS SURGICAL INC,ASXC,76908
2022-01-28,ATHENA TECHNOLOGY ACQ CORP II,ATEK,22703
2014-03-26,ACTINIUM PHARMACEUTICALS INC,ATNM,14497
2000-08-01,AULT INC,AULT,15748
2010-03-19,GOLDEN MINERALS CO,AUMN,93285
1992-07-29,AUSTINS INTERNATIONAL INC,AUST,77801
2022-05-04,AUSTIN GOLD CORP,AUST,23068
1998-06-23,AVALON HOLDINGS CORP,AWX,86113
2001-01-02,BARNES GROUP INC,B,39693
2021-11-18,BERENSON ACQUISITION CORP I,BACA,22355
2020-02-20,BATTALION OIL CORP,BATL,91283
2001-08-24,BANCROFT CONVERTIBLE FUND INC,BCV,54973
2006-03-20,BANCROFT FUND LTD,BCV,54973
2001-08-24,FLANIGANS ENTERPRISES INC,BDL,54244
1993-11-22,BESICORP GROUP INC,BGI,17807
2013-10-01,BIRKS GROUP INC,BGI,90986
1997-09-23,BAR HARBOR BANKSHARES,BHB,85332
1996-12-05,B & H MARITIME CARRIERS LTD,BHM,75454
2022-10-06,BLUEROCK HOMES TRUST INC,BHM,23345
2015-10-28,FACTORSHARES TRUST,BITE,15777
2016-06-27,E T F MANAGERS TRUST,BITE,15777
2021-04-05,BITE ACQUISITION CORP,BITE,20908
2018-06-05,B K TECHNOLOGIES INC,BKTI,10779
2019-03-29,B K TECHNOLOGIES CORP,BKTI,10779
2021-03-22,BLUERIVER ACQUISITION CORP,BLUA,20740
