DATE,COMNAM,TICKER,PERMNO
2019-10-17,A T A CREATIVITY GLOBAL,AACG,92520
1991-02-27,ALL AMERICAN COMMUNICATIONS INC,AACI,85287
2021-11-10,ARMADA ACQUISITION CORP I,AACI,22271
2021-08-27,AADI BIOSCIENCE INC,AADI,17869
2013-12-09,AMERICAN AIRLINES GROUP INC,AAL,21020
1990-11-01,ATLANTIC AMERICAN CORP,AAME,15580
2013-09-26,APPLIED OPTOELECTRONICS INC,AAOI,14145
1991-01-03,AAON INC,AAON,76868
2004-06-10,APPLE COMPUTER INC,AAPL,14593
2007-01-11,APPLE INC,AAPL,14593
2008-02-26,ADVANCED BATTERY TECHNOLS INC,ABAT,92324
1994-05-19,A B C BANCORP,ABCB,80498
2005-12-09,AMERIS BANCORP,ABCB,80498
1997-02-11,ALLIANCE BANCORP INC,ABCL,77764
2020-12-11,ABCELLERA BIOLOGICS INC,ABCL,20276
2015-06-22,ABEONA THERAPEUTICS INC,ABEO,87656
1993-07-20,APPLIED BIOMETRICS INC,ABIO,79365
2009-01-28,ARCA BIOPHARMA INC,ABIO,85293
2001-08-24,AMERICAN BILTRITE INC,ABL,39482
2020-12-10,AIRBNB INC,ABNB,20190
2021-07-01,ACUMEN PHARMACEUTICALS INC,ABOS,21695
1996-02-27,A B S INDUSTRIES INC,ABSI,10074
2021-07-22,ABSCI CORP,ABSI,21604
2015-08-03,ARBUTUS BIOPHARMA CORP,ABUS,12411
2021-08-03,A B V C BIOPHARMA INC,ABVC,21828
2022-03-07,ATLANTIC COASTAL ACQ CORP II,ACAB,22881
2020-12-11,ACIES ACQUISITION CORP,ACAC,20277
2022-08-01,ACRI CAPITAL ACQUISITION CORP,ACAC,23259
2004-05-27,ACADIA PHARMACEUTICALS,ACAD,90177
2021-04-26,ATLANTIC COASTAL ACQ CORP,ACAH,21011
2022-03-24,ALSET CAPITAL ACQUISITION CORP,ACAX,22882
1996-01-02,VAN KAMPEN AMERN CAP BOND FD INC,ACB,51916
2007-09-28,REALTY FUNDS INC,ACB,92290
2018-10-23,AURORA CANNABIS INC,ACB,18151
2000-07-17,AMERICAN COMMUNITY BNCSHRS INC,ACBA,88416
2021-05-21,ACE GLOBAL BUSINESS ACQ LTD,ACBA,21264
2000-06-29,ACCORD NETWORKS LTD,ACCD,88320
2020-07-02,ACCOLADE INC,ACCD,19496
2022-11-02,PROFRAC HOLDING CORP,ACDC,23064
2004-06-10,ACETO CORP,ACET,10656
2020-09-16,ADICET BIO INC,ACET,17272
2000-05-09,ARCH CAPITAL GROUP LTD,ACGL,82276
2000-11-10,ARCH CAPITAL GROUP LTD NEW,ACGL,82276
2011-11-01,ACADIA HEALTHCARE CO INC,ACHC,13105
2021-03-31,ACHILLES THERAPEUTICS PLC,ACHL,20761
2017-08-03,ACHIEVE LIFE SCIENCES INC,ACHV,82526
2020-12-18,ATLAS CREST INVESTMENT CORP,ACIC,20207
2016-09-23,A C IMMUNE SA,ACIU,16281
2007-07-25,A C I WORLDWIDE INC,ACIW,81282
2000-07-11,AXCELIS TECHNOLOGIES INC,ACLS,88417
2022-02-04,ARCELLX INC,ACLX,22758
1997-10-09,AC MOORE ARTS AND CRAFTS INC,ACMR,85452
2017-11-03,A C M RESEARCH INC,ACMR,17045
2010-12-20,A C N B CORP,ACNB,12480
2022-08-11,ASCENT INDUSTRIES CO,ACNT,43334
2022-04-22,ACLARION INC,ACON,23008
2006-02-10,ACORDA THERAPEUTICS INC,ACOR,91086
1995-07-27,ACROSS DATA SYSTEMS INC,ACRS,81849
2015-10-07,ACLARIS THERAPEUTICS INC,ACRS,15775
2022-11-15,ACRIVON THERAPEUTICS INC,ACRV,23510
2011-02-11,ACELRX PHARMACEUTICALS INC,ACRX,12573
2013-01-07,ACASTI PHARMA INC,ACST,13750
1993-07-28,ACTAVA GROUP INC,ACT,25961
2013-01-24,ACTAVIS INC,ACT,78916
2013-10-01,ACTAVIS PLC,ACT,78916
2017-12-13,ADVISORSHARES TRUST,ACT,17132
2021-09-16,ENACT HOLDINGS INC,ACT,21906
2002-12-16,ACACIA RESEARCH CORP,ACTG,89611
2021-03-24,A C V AUCTIONS INC,ACVA,20657
2021-06-25,ACURX PHARMACEUTICALS INC,ACXP,21512
2021-02-09,ADAGENE INC,ADAG,20564
1999-04-29,ADAPTIVE BROADBAND CORP,ADAP,20723
2015-05-06,ADAPTIMMUNE THERAPEUTICS PLC,ADAP,15361
2004-06-10,ADOBE SYSTEMS INC,ADBE,75510
2018-10-09,ADOBE INC,ADBE,75510
2022-11-01,COLOR STAR TECHNOLOGY CO LTD,ADD,93126
2022-10-03,ADEIA INC,ADEA,89922
2004-10-14,ADA ES INC,ADES,90400
2013-07-01,ADVANCED EMISSIONS SOLUTIONS INC,ADES,90400
2001-08-24,ANALOG DEVICES INC,ADI,60871
2018-07-27,ADIAL PHARMACEUTICALS INC,ADIL,17951
2014-11-10,ADMA BIOLOGICS INC,ADMA,15056
2021-02-05,ADVENT TECHNOLOGIES HLDGS INC,ADN,18302
2020-12-10,EDOC ACQUISITION CORP,ADOC,20278
2000-12-01,AUTOMATIC DATA PROCESSING INC,ADP,44644
2004-06-10,ADAPTEC INC,ADPT,10353
2010-06-23,A D P T CORP,ADPT,10353
2014-06-25,ADEPTUS HEALTH INC,ADPT,14713
2019-06-27,ADAPTIVE BIOTECHNOLOGIES CORP,ADPT,18769
2021-12-23,ADS TEC ENERGY PLC,ADSE,22520
1996-05-01,AUTODESK INC,ADSK,85631
2021-12-23,ADTHEORENT HOLDING CO INC,ADTH,21076
1994-08-10,ADTRAN INC,ADTN,80791
2022-07-11,ADTRAN HOLDINGS INC,ADTN,80791
2020-06-30,ADITX THERAPEUTICS INC,ADTX,19460
2021-07-12,ADITXT INC,ADTX,19460
2009-10-28,ADDUS HOMECARE CORP,ADUS,93073
2020-10-29,ADVANTAGE SOLUTIONS INC,ADV,18953
2016-05-12,ADVERUM BIOTECHNOLOGIES INC,ADVM,14790
2020-01-29,ADDEX THERAPEUTICS LTD,ADXN,19179
2021-12-13,ALTENERGY ACQUISITION CORP,AEAE,22521
2020-10-15,ANTELOPE ENTERPRISE HLDGS LTD,AEHL,92475
1997-08-15,AEHR TEST SYSTEMS,AEHR,85272
2021-02-05,ALSET EHOME INTERNATIONAL INC,AEI,20147
2022-10-04,ALSET INC,AEI,20147
1995-11-17,ADVANCED ENERGY INDUSTRIES INC,AEIS,82547
2015-07-13,AETHLON MEDICAL INC,AEMD,15491
2002-01-02,AMERICAN ELECTRIC POWER CO INC,AEP,24109
2006-07-03,ADVANCED ENVIRON RECYC TECHS INC,AERT,76023
2003-11-24,ADDVANTAGE TECHNOLOGIES GRP INC,AEY,76869
2018-09-04,AUDIOEYE INC,AEYE,18098
2004-06-03,AETERNA ZENTARIS INC,AEZS,88240
2022-06-03,AURA F A T PROJECTIONS ACQ CORP,AFAR,23170
1992-04-14,AFFINITY BIOTECH INC,AFBI,77511
2021-01-21,AFFINITY BANCSHARES INC,AFBI,16671
2021-03-19,A F C GAMMA INC,AFCG,20764
2020-08-06,ACUTUS MEDICAL INC,AFIB,19619
2014-09-12,AFFIMED THERAPEUTICS B V,AFMD,14923
2014-10-10,AFFIMED N V,AFMD,14923
2022-06-10,FORAFRIC GLOBAL PLC,AFRI,23171
2021-01-13,AFFIRM HOLDINGS INC,AFRM,20339
2019-07-19,AFYA LTD,AFYA,18829
2022-12-01,ALLIED GAMING & ENTERTAINMENT IN,AGAE,16975
2019-07-15,A G B A ACQUISITION LTD,AGBA,18830
2022-11-15,A G B A GROUP HOLDING LTD,AGBA,18830
2000-02-04,ANTIGENICS INC DEL,AGEN,87583
2011-01-06,AGENUS INC,AGEN,87583
2021-01-28,AGRIFY CORP,AGFY,20412
2013-07-24,AGIOS PHARMACEUTICALS INC,AGIO,14044
2018-04-18,A G M GROUP HOLDINGS INC,AGMH,17678
2008-05-15,AMERICAN CAPITAL AGENCY CORP,AGNC,92680
2016-10-03,A G N C INVESTMENT CORP,AGNC,92680
1990-04-09,AGRIPOST INC,AGRI,11237
1992-02-14,AGRIDYNE TECHNOLOGIES INC,AGRI,77341
2021-07-08,AGRIFORCE GROWING SYSTEMS LTD,AGRI,21698
2014-05-23,AGILE THERAPEUTICS INC,AGRX,14645
2003-09-16,AGILYSYS INC,AGYS,63125
2019-11-11,ADAPTHEALTH CORP,AHCO,17684
1996-05-16,APRIA HEALTHCARE GROUP INC,AHG,76653
2021-12-16,AKSO HEALTH GROUP,AHG,17113
1993-04-16,AMERICAN HEALTHCARE MANAGEMENT,AHI,66421
1998-03-03,ALLIED HOLDINGS INC,AHI,79591
2021-11-19,ADVANCED HUMAN IMAGING LTD,AHI,22274
2022-12-19,ADVANCED HEALTH INTELLIGENCE LTD,AHI,22274
1990-11-28,ALLIED IRISH BANKS PLC,AIB,76493
2022-02-23,A I B ACQUISITION CORP,AIB,22762
1992-03-06,AMERICAN INCOME HOLDING INC,AIH,77452
2000-11-20,ABLEST INC,AIH,41444
2019-10-25,AESTHETIC MEDICAL INT HLD GR LTD,AIH,18996
2018-03-16,SENMIAO TECHNOLOGY LTD,AIHS,17345
2022-08-09,AINOS INC,AIMD,83840
2002-01-02,AMERICAN ISRAELI PAPER MLS LTD,AIP,29014
2008-07-08,HADERA PAPER LTD,AIP,29014
2021-10-27,ARTERIS INC,AIP,22177
1990-12-14,AIR CURE ENVIRONMENTAL INC,AIRE,76543
2016-08-12,AIRGAIN INC,AIRG,16247
1998-05-28,AMERICAN AIRCARRIERS SUPPORT INC,AIRS,86045
2021-10-29,AIRSCULPT TECHNOLOGIES INC,AIRS,22178
1994-05-16,AIR TRANSPORTATION HOLDING INC,AIRT,11368
1999-09-30,AIR T INC,AIRT,11368
1999-10-29,AKAMAI TECHNOLOGIES INC,AKAM,87299
2022-03-15,AKANDA CORP,AKAN,22885
2014-03-20,AKEBIA THERAPEUTICS INC,AKBA,14531
2022-08-22,AKILI INC,AKLI,21534
2019-06-20,AKERO THERAPEUTICS INC,AKRO,18772
2017-03-13,AKOUSTIS TECHNOLOGIES INC,AKTS,16625
2015-09-21,AKARI THERAPEUTICS PLC,AKTX,14424
2021-04-16,AKOYA BIOSCIENCES INC,AKYA,21016
2022-11-10,AVALON GLOBOCARE CORP,ALBT,18253
2004-06-10,ALICO INC,ALCO,11790
2014-05-02,ALDEYRA THERAPEUTICS INC,ALDX,14647
2019-02-07,ALECTOR INC,ALEC,18376
2020-10-29,ALLEGRO MICROSYSTEMS INC,ALGM,19938
2001-01-26,ALIGN TECHNOLOGY INC,ALGN,88860
2020-10-16,ALIGOS THERAPEUTICS INC,ALGS,19944
2006-12-08,ALLEGIANT TRAVEL CO,ALGT,91659
2021-03-26,ALIGNMENT HEALTHCARE INC,ALHC,20661
2010-04-22,ALIMERA SCIENCES INC,ALIM,93339
1991-07-16,ALKERMES INC,ALKS,76736
2011-09-19,ALKERMES PLC,ALKS,76736
2021-04-14,ALKAMI TECHNOLOGY INC,ALKT,21017
2018-07-19,ALLAKOS INC,ALLK,17948
2018-10-11,ALLOGENE THERAPEUTICS INC,ALLO,18137
1999-01-22,ALLAIRE CORP,ALLR,86565
2021-12-21,ALLARITY THERAPEUTICS INC,ALLR,22523
2006-11-16,ALLOT COMMUNICATIONS LTD,ALLT,91604
2019-01-11,ALLOT LTD,ALLT,91604
1991-01-10,ALLIANT COMPUTER SYSTEMS CORP,ALNT,10953
1996-09-03,ALIANT COMMUNICATIONS INC,ALNT,49729
2004-05-28,ALNYLAM PHARMACEUTICALS INC,ALNY,90178
2004-06-10,ASTRO MEDICAL INC NEW,ALOT,15537
2016-05-26,ASTRONOVA INC,ALOT,15537
1993-11-10,ALPINE GAMING INC,ALPN,79791
2017-07-25,ALPINE IMMUNE SCIENCES INC,ALPN,15432
2021-10-20,ALPINE 4 HOLDINGS INC,ALPP,22179
1994-09-29,PROTECTION ONE INC,ALRM,80915
2015-06-26,ALARM COM HOLDINGS INC,ALRM,15409
2010-03-23,AMERICAN LEARNING CORP NY,ALRN,10100
2017-06-29,AILERON THERAPEUTICS INC,ALRN,16776
1997-06-10,ALARIS MEDICAL INC,ALRS,75477
2019-09-13,ALERUS FINANCIAL CORP,ALRS,18941
2022-01-18,ALPHA STAR ACQUISITION CORP,ALSA,22625
1994-05-25,ALERT CENTRE INC,ALT,80588
1996-08-16,ALLEGHENY TELEDYNE INC,ALT,43123
2000-08-07,ALTEON INC,ALT,77086
2009-11-16,ISHARES TRUST,ALT,93100
2017-05-05,ALTIMMUNE INC,ALT,90926
2000-05-23,ALTAIR INTERNATIONAL INC,ALTI,84596
2002-07-17,ALTAIR NANOTECHNOLOGIES INC,ALTI,84596
2021-02-01,ALTO INGREDIENTS INC,ALTO,86165
2004-06-10,ALTERA CORP,ALTR,75577
2017-11-01,ALTAIR ENGINEERING INC,ALTR,17034
2006-01-26,ALTUS PHARMACEUTICALS INC,ALTU,91074
2021-01-29,ALTITUDE ACQUISITION CORP,ALTU,20413
2022-06-16,ALVOTECH,ALVO,23172
2001-08-02,ALVARION LTD,ALVR,87755
2020-07-30,ALLOVIR INC,ALVR,19540
2020-07-17,ALX ONCOLOGY HOLDINGS INC,ALXO,19542
2018-11-02,ALITHYA GROUP INC,ALYA,18149
