DATE,COMNAM,TICKER,PERMNO
1991-04-12,ATTWOODS PLC,A,11334
1996-05-23,ASTRA AB,A,83438
1999-11-18,AGILENT TECHNOLOGIES INC,A,87432
1998-08-03,ALUMINUM COMPANY AMER,AA,24643
1999-01-04,ALCOA INC,AA,24643
2016-11-01,ALCOA CORP,AA,16347
1997-05-21,A B N AMRO HOLDING N V,AAN,84766
2009-04-20,AARONS INC,AAN,10517
2009-04-20,AARONS INC,AAN,78049
2010-12-13,AARONS INC,AAN,10517
2020-10-19,AARONS HOLDINGS CO INC,AAN,10517
2020-12-01,AARONS CO INC,AAN,20064
1993-12-15,AMWAY ASIA PACIFIC LTD,AAP,80105
2001-11-29,ADVANCE AUTO PARTS INC,AAP,89217
1993-02-19,ALL AMERICAN TERM TRUST INC,AAT,78935
2011-01-13,AMERICAN ASSETS TRUST INC,AAT,12513
1992-03-09,ALEX BROWN INC,AB,10071
1998-03-03,CANNON EXPRESS INC,AB,11139
2006-02-27,ALLIANCEBERNSTEIN HOLDING L P,AB,75278
2013-01-02,ABBVIE INC,ABBV,13721
1993-11-19,ATLANTIC BEVERAGE CO INC,ABEV,79786
1997-07-28,ATLANTIC PREMIUM BRANDS LTD,ABEV,79786
2013-11-11,AMBEV SA,ABEV,85254
1996-12-12,GROUPE A B SA,ABG,84368
2002-03-14,ASBURY AUTOMOTIVE GROUP INC,ABG,89327
1994-03-17,A B M INDUSTRIES INC,ABM,47730
1994-05-16,ARBOR PROPERTY TRUST,ABR,69921
1998-01-02,ATLANTIC PREMIUM BRANDS LTD,ABR,79786
2004-04-07,ARBOR REALTY TRUST INC,ABR,90102
2002-01-02,ABBOTT LABORATORIES,ABT,20482
1999-11-01,ALLIANCE CAPITAL MGMT HLDG L P,AC,75278
2015-12-01,ASSOCIATED CAPITAL GROUP INC,AC,15802
1995-08-04,ARCADIAN CORP,ACA,81914
2006-11-10,A C A CAPITAL HOLDINGS INC,ACA,91561
2018-11-01,ARCOSA INC,ACA,18144
2012-05-01,A C C O BRANDS CORP,ACCO,90825
1996-12-05,ALFACELL CORP,ACEL,11739
2019-11-21,ACCEL ENTERTAINMENT INC,ACEL,16874
2021-09-17,ARCHER AVIATION INC,ACHR,20207
1997-07-01,ARCH COAL INC,ACI,75326
2020-06-26,ALBERTSONS COMPANIES INC,ACI,19413
2007-05-10,A E C O M TECHNOLOGY CORP,ACM,91975
2015-01-07,A E C O M,ACM,91975
2001-07-19,ACCENTURE LTD BERMUDA,ACN,89071
2009-09-01,ACCENTURE PLC IRELAND,ACN,89071
2001-08-24,AMERICAN REAL ESTATE PARTNERS LP,ACP,75113
2011-01-27,AVENUE INCOME CREDIT STRATS FD,ACP,12514
2017-12-01,ABERDEEN INCOME CREDIT STRATS FD,ACP,12514
2022-07-01,ABRDN INCOME CREDIT STRATS FUND,ACP,12514
1990-07-25,AMERISCRIBE CORP,ACR,42454
1997-05-30,AMERICAN RETIREMENT CORP,ACR,84768
2021-02-17,ACRES COMMERCIAL REALTY CORP,ACR,91119
2012-04-26,ARES COMMERCIAL REAL ESTATE CORP,ACRE,13332
1995-02-13,ACRODYNE HOLDINGS INC,ACRO,81237
1995-07-03,ACRODYNE COMMUNICATIONS INC,ACRO,81237
2021-08-30,ACROPOLIS INFRA ACQUISITION CORP,ACRO,21795
2002-01-02,ALBERTO CULVER CO,ACV,42083
2002-01-02,ALBERTO CULVER CO,ACV,69163
2004-01-23,ALBERTO CULVER CO,ACV,42083
2006-11-17,ALBERTO CULVER CO NEW,ACV,42083
2015-05-22,ALLIANZGI DIV INC & CON FD,ACV,15337
2021-02-01,VIRTUS ALLIANZGI DIV IN & CON FD,ACV,15337
2022-06-23,VIRTUS DIV INC & CONV FUND,ACV,15337
1994-04-15,AGREE REALTY CORP,ADC,80412
